# 
# This file is written by the ANSYS DesignXplorer add-in and contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: s1
# Creation date: 02/05/2015 1:23:05 PM
# 
# 02/05/2015 1:23:05 PM
# The parameters defined in the project are:
# P1 - H1, P2 - H10, P3 - H11, P4 - V6, P5 - V7, P6 - V3, P7 - D2, P8 - H9_PLUS_H11
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P6, P7, P8
DP 0, 42, 5, 12, 5, 6, 2, 6, 37
# 
# 03/05/2015 2:06:24 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H1, P2 - H10, P3 - H11, P4 - V6, P5 - V7, P6 - V3, P7 - D2, P8 - H9_PLUS_H11, P9 - HALF_HEIGHT, P10 - Safety Factor Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10
DP 1, 42, 5, 12, 5, 6, 2, 6, 37, 4.25, 0.40320734416701692
DP 2, 42, 5, 12, 5, 6, 2, 6, 37, 4.5, 0.44752987450003
# 
# A non parametric change occured and invalidated design point results.
# 03/05/2015 2:11:20 AM
# 
# 
# 03/05/2015 2:57:40 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H1, P2 - H10, P3 - H11, P4 - V6, P5 - V7, P6 - V3, P7 - D2, P8 - H9_PLUS_H11, P9 - HALF_HEIGHT, P10 - Safety Factor Minimum, P11 - Solid Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11
DP 1, 40.025, 2.025, 7.525, 3.26375, 3.27375, 1.76625, 5.025, 30.075, 4.03, 0.53670248500496254, 8.76972191364293
DP 2, 40.075, 4.525, 9.1916666666666664, 3.81375, 3.9523214285714285, 2.0617045454545453, 5.4096153846153845, 30.95735294117647, 4.3457894736842109, 0.68708269070162986, 11.388561788401535
DP 3, 40.125, 3.275, 10.858333333333334, 4.36375, 4.6308928571428574, 2.3571590909090911, 5.7942307692307695, 31.839705882352941, 4.6615789473684206, 0.8321903675645248, 15.104003496659407
DP 4, 40.175, 5.775, 8.0805555555555557, 4.91375, 5.3094642857142862, 2.6526136363636361, 6.1788461538461537, 32.722058823529409, 4.9773684210526312, 0.86180766542991127, 17.01810535638057
DP 5, 40.225, 2.65, 9.7472222222222218, 5.46375, 5.9880357142857141, 2.948068181818182, 6.5634615384615387, 33.60441176470588, 5.2931578947368418, 1.0068069302344025, 22.103664573026009
DP 6, 40.275, 5.15, 11.413888888888888, 3.37375, 6.6666071428571421, 3.2435227272727274, 6.9480769230769237, 34.486764705882351, 5.6089473684210525, 0.97053337240615345, 22.41030030899222
DP 7, 40.325, 3.9, 8.6361111111111111, 3.92375, 7.3451785714285709, 3.5389772727272728, 7.3326923076923078, 35.369117647058822, 5.9247368421052631, 0.88750012773313847, 25.970554945885873
DP 8, 40.375, 6.4, 10.302777777777777, 4.47375, 3.370688775510204, 3.8344318181818182, 7.7173076923076929, 36.251470588235293, 6.2405263157894737, 0.257392752221522, 27.568867864404005
DP 9, 40.425, 2.3375, 11.969444444444445, 5.0237500000000006, 4.0492602040816328, 4.1298863636363636, 8.101923076923077, 37.133823529411764, 6.5563157894736843, 0.616407624814854, 33.8597781035994
DP 10, 40.475, 4.8375, 7.7101851851851855, 5.57375, 4.7278316326530607, 4.4253409090909095, 8.486538461538462, 38.016176470588235, 6.8721052631578949, 0.78610550811528135, 36.630068665317346
