# 
# This file is written by the ANSYS DesignXplorer add-in and contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: s2
# Creation date: 03/05/2015 3:31:04 AM
# 
# 03/05/2015 3:31:04 AM
# The parameters defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P6 - V7, P7 - HALF_HEIGHT, P8 - D2
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P6, P7, P8
DP 0, 5, 7, 30, 5, 2, 6, 5, 6
# 
# A non parametric change occured and invalidated design point results.
# 03/05/2015 5:17:55 AM
# 
# 
# 03/05/2015 6:02:36 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P7 - HALF_HEIGHT, P8 - D2, P9 - Safety Factor Minimum, P10 - Solid Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P7, P8, P9, P10
DP 1, 1.5, 4, 33.5, 3.5, 2.9, 4.7, 6, 0.827105503479565, 16.264101212969855
DP 2, 1.5, 4, 33.5, 3.5, 3.2, 4.7, 6, 0.810364531777107, 17.702656100384175
DP 3, 1.5, 4, 33.5, 3.5, 3.5, 4.7, 6, 0.78334210706172314, 19.141210987798516
DP 4, 1.5, 4, 33.5, 3.5, 3.7, 4.7, 6, 0.77197895443637266, 20.100247579408066
DP 5, 1.5, 4, 33.5, 3.5, 4, 4.7, 6, 0.77345318900571625, 21.538802466822393
DP 6, 1.5, 4, 33.5, 3.5, 4.3, 4.7, 6, 0.7549761642139925, 22.977357354236727
DP 7, 1.5, 4, 33.5, 3.5, 4.6, 4.7, 6, 0.73953497891544151, 24.415912241651053
DP 8, 1.5, 4, 33.5, 3.5, 4.9, 4.7, 6, 0.7178075251522783, 25.854467129065387
DP 9, 1.5, 4, 33.5, 3.5, 5.2, 4.7, 6, 0.70353524512461152, 27.293022016479711
# 
# 03/05/2015 6:32:23 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P7 - HALF_HEIGHT, P8 - D2, P9 - Safety Factor Minimum, P10 - Solid Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P7, P8, P9, P10
DP 0, 2, 5, 33.5, 3.5, 2, 4.7, 6, 0.68150016203210018, 12.722356269262695
DP 1, 2, 5, 33.5, 3.5, 2.3, 4.7, 6, 0.78731828026722162, 14.183048156677028
DP 2, 2, 5, 33.5, 3.5, 2.6, 4.7, 6, 0.89225678116837426, 15.643740044091343
DP 3, 2, 5, 33.5, 3.5, 2.9, 4.7, 6, 0.99605916889512125, 17.104431931505683
DP 4, 2, 5, 33.5, 3.5, 3.2, 4.7, 6, 1.0697362811986288, 18.565123818920004
DP 5, 2, 5, 33.5, 3.5, 3.5, 4.7, 6, 1.0498342937838088, 20.025815706334342
DP 6, 2, 5, 33.5, 3.5, 3.8, 4.7, 6, 1.0366127793906372, 21.486507593748662
DP 7, 2, 5, 33.5, 3.5, 4.1, 4.7, 6, 1.0195959952401223, 22.947199481163
DP 8, 2, 5, 33.5, 3.5, 4.4, 4.7, 6, 1.0114539927892567, 24.407891368577332
DP 9, 2, 5, 33.5, 3.5, 4.7, 4.7, 6, 0.99525229700198425, 25.868583255991641
DP 10, 2, 5, 33.5, 3.5, 5, 4.7, 6, 0.98110077956937936, 27.32927514340598
# 
# A non parametric change occured and invalidated design point results.
# 03/05/2015 6:42:41 AM
# 
# 
# A non parametric change occured and invalidated design point results.
# 03/05/2015 7:36:15 AM
# 
# 
# A non parametric change occured and invalidated design point results.
# 04/05/2015 12:56:28 AM
# 
# 
# 04/05/2015 1:09:20 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P7 - HALF_HEIGHT, P8 - D2, P9 - Safety Factor Minimum, P10 - Solid Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P7, P8, P9, P10
DP 1, 0.7, 7.5516666666666667, 34.103333333333332, 5.6016666666666666, 4.1533333333333333, 5.3516666666666666, 6, 1.73166178905668, 30.782224713622732
DP 2, 0.7, 7.555, 34.50333333333333, 5.7349999999999994, 4.3133333333333335, 5.4088095238095235, 6, 1.6828422883943897, 32.506626787811427
DP 3, 0.7, 7.5583333333333336, 34.303333333333335, 5.8683333333333332, 4.4733333333333336, 5.4659523809523805, 6, 1.774090055037651, 33.822686267456284
DP 4, 0.7, 7.5616666666666665, 34.703333333333333, 5.6461111111111109, 4.6333333333333337, 5.5230952380952383, 6, 1.7464720889620362, 35.354648992924048
DP 5, 0.7, 7.5649999999999995, 34.203333333333333, 5.7794444444444446, 4.7933333333333339, 5.5802380952380952, 6, 1.7694218288181314, 36.4574096680137
DP 6, 0.7, 7.5683333333333334, 34.603333333333332, 5.9127777777777775, 4.1853333333333333, 5.6373809523809522, 6, 1.9034760546301519, 33.4591592496274
DP 7, 0.7, 7.5716666666666663, 34.403333333333336, 5.6905555555555551, 4.3453333333333335, 5.6945238095238091, 6, 1.6684197265981233, 34.533427916507812
DP 8, 0.7, 7.575, 34.803333333333335, 5.8238888888888889, 4.5053333333333336, 5.3598299319727891, 6, 1.737793393926486, 33.647581440840447
DP 9, 0.7, 7.5783333333333331, 34.153333333333336, 5.9572222222222218, 4.6653333333333338, 5.4169727891156461, 6, 1.72681185558135, 34.616375396151938
DP 10, 0.7, 7.5816666666666661, 34.553333333333335, 5.6164814814814807, 4.8253333333333339, 5.474115646258503, 6, 1.707276795867978, 36.068045038863715
DP 11, 0.7, 7.585, 34.353333333333332, 5.7498148148148145, 4.2173333333333334, 5.53125850340136, 6, 1.8038397539444391, 32.668296074632913
DP 12, 0.7, 7.5883333333333329, 34.75333333333333, 5.8831481481481482, 4.3773333333333335, 5.5884013605442178, 6, 1.7794483574436226, 34.460461006581347
DP 13, 0.7, 7.5916666666666668, 34.253333333333337, 5.6609259259259259, 4.5373333333333337, 5.6455442176870747, 6, 1.8820876458266516, 35.298652592728061
DP 14, 0.7, 7.595, 34.653333333333336, 5.7942592592592588, 4.6973333333333338, 5.7026870748299316, 6, 1.6644086408498382, 37.162017680397717
DP 15, 0.7, 7.5983333333333336, 34.453333333333333, 5.9275925925925925, 4.8573333333333339, 5.3679931972789117, 6, 1.7159308770758452, 35.657776743288743
